X,Y,OBJECTID,status,eventIsland,directLineDistance1,directLineDistance2,directLineDistance3,eventDescription,eventType,expectedResolution,impact,planned,restrictions,startDate,endDate,informationSource,supplier,eventCreated,eventModified,GDB_GEOMATTR_DATA,GlobalID,eventComments,locationArea,alternativeRoute,eventId,CreationDate,Creator,EditDate,Editor
1769892.53007903,5899689.07040232,100322,Resolved,North Island,0.87 km north of Takanini,1.13 km south of Manurewa East,1.90 km north of Takanini,Maintenance,Road Work,22/09/2023 03:56,Road Closed,true,,2023/09/21 09:00:00+00,2023/09/21 15:56:05.247+00,NZTA,Official,2023/09/21 07:59:53.063+00,2023/09/21 15:56:04.167+00,,8fe5be2e-5b07-427b-8b0e-20b2a59df9cb,,"SH 1 Full Closure Takanini to Papakura, Southbound",,442990,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1774984.51477881,5887389.80345424,100324,Resolved,North Island,1.82 km east of Ramarama,4.01 km southeast of Runciman,5.07 km southeast of Drury,Maintenance,Road Work,22/09/2023 03:42,Road Closed,true,,2023/09/21 09:00:00+00,2023/09/21 15:42:45.533+00,NZTA,Official,2023/09/20 23:52:33.517+00,2023/09/21 15:42:44.467+00,,c16f556f-7a50-425e-80ee-a62106f6c5fd,,SH 1 Ramarama On-ramp Southbound,,442923,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1934358.13680172,5791291.97406406,100325,Active,North Island,1.76 km north of Edgecumbe,4.57 km northeast of Otakiri,5.78 km east of Te Waiu O Pukemaire/braemar Springs,Pavement Repairs,Road Work,25/11/2023 17:00,Delays,true,,2023/09/17 21:00:00+00,2023/11/25 05:00:00+00,NMC,Official,2023/09/01 02:30:04.787+00,2023/09/17 21:01:01.607+00,,e487693a-e4a1-431f-93fe-685fb526e73a,,SH 2 Matata to (SH30) Awakeri,,440145,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1893402.96872368,5819213.20967396,100326,Active,North Island,2.29 km south of Papamoa Beach,2.69 km east of Papamoa,5.74 km north of Te Puke,Road Construction,Road Work,30/09/2023 00:00,Caution,true,,2023/07/17 20:20:00+00,2023/09/29 12:00:00+00,NMC,Official,2023/07/17 20:28:33.410+00,2023/07/17 20:28:33.410+00,,2e00f4da-44be-434f-8568-2a5ca7df4ae1,,SH 2 Kaituna River to Papamoa (TEL Toll Road),,435019,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1825900.15085301,5799010.72780966,100328,Active,North Island,2.73 km southeast of Karapiro,4.43 km north of Maungatautari,5.16 km west of Taotaoroa,Resurfacing,Road Work,Until further notice,Caution,true,,2023/09/15 04:11:00+00,2023/09/30 19:00:00+00,NMC,Official,2023/09/15 04:15:41.753+00,2023/09/15 04:21:44.903+00,,bdf1cf55-c104-4bc2-8132-9a030ccfb840,,SH 1 Karapiro,,441383,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1798000.73745714,5593386.70093921,100329,Active,North Island,,,,Washout,Road Hazard,Until further notice,Caution,false,,2022/11/27 23:14:23.260+00,,NZTA,Official,2022/11/27 23:14:24.043+00,2023/09/21 02:22:34.217+00,,4b2109ac-c909-412b-8ac2-a23ad54aaf97,,"SH 4 Parikino to Kakatahi, north of intersection with Hawken Road",,407880,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1803154.45861167,5828337.78672132,100331,Resolved,North Island,0.51 km northeast of Gordonton,4.14 km southeast of Komakorau,5.80 km north of Puketaha,Maintenance,Road Work,Until further notice,Caution,true,,2023/09/20 21:20:00+00,2023/09/21 05:00:00+00,NMC,Official,2023/09/20 21:21:54.030+00,2023/09/21 05:01:22.990+00,,688db14e-be3d-4826-9347-3403d150c6e9,,SH 1B Gordonton,,442884,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1772095.17209063,5785136.71326886,100332,Active,North Island,3.39 km southeast of Oparau,5.14 km northeast of Hauturu,8.34 km west of Te Rauamoa,Other,Road Work,Until further notice,Caution,true,,2023/08/30 21:26:00+00,2023/10/30 12:00:00+00,NMC,Official,2023/08/30 21:27:13.797+00,2023/09/21 21:24:41.877+00,,bb2aaef7-59ad-45a7-8952-e252e3793ae6,,SH 31 Oparau,,440052,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1789817.30412911,5446599.15692463,100333,Active,North Island,,,,Maintenance,Road Work,Until further notice,Caution,true,,2023/07/21 04:00:00+00,,NZTA,Official,2023/07/21 02:52:11.520+00,2023/09/18 00:21:31.957+00,,1a942818-816d-4447-a2da-335cb6d46666,,SH 2 Featherston to Kaitoke (Remutaka Hill),,435382,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1788891.57670749,5564704.90465018,100334,Resolved,North Island,,,,Resurfacing,Road Work,Until further notice,Caution,true,,2023/09/20 20:59:07.293+00,2023/09/21 05:00:00.293+00,NZTA,Official,2023/09/20 21:03:15.993+00,2023/09/21 05:01:22.913+00,,87d8ced4-79d0-4b5b-99b8-c9d29a4f17db,,"SH 3 Turakina, at the intersection with Wanganui Street",,442882,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1806516.88080856,5808807.81716727,100335,Resolved,North Island,1.72 km south of Tamahere,2.60 km north of Mystery Creek,3.43 km east of Rukuhia,Other,Road Work,Until further notice,Caution,true,,2023/09/21 06:00:00+00,2023/09/21 18:00:00+00,NMC,Official,2023/09/20 21:35:32.513+00,2023/09/21 18:01:14.790+00,,07b1b15c-a59e-4b23-9778-cea55c3f972b,,SH 21 Tamahere,,442887,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1806350.4275168,5808104.76822385,100337,Resolved,North Island,1.90 km north of Mystery Creek,2.43 km south of Tamahere,3.18 km east of Rukuhia,Other,Road Work,Until further notice,Caution,true,,2023/09/21 06:00:00+00,2023/09/21 18:00:00+00,NMC,Official,2023/09/20 21:29:17.987+00,2023/09/21 18:01:14.727+00,,5e0be722-89e5-43cd-8e21-366623c241e3,,SH 21 Tamahere,,442886,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1898157.51982911,5813191.17377976,100338,Active,North Island,0.13 km southwest of Te Tumu,1.30 km southeast of Rangiuru,2.78 km east of Te Matai,Other,Road Work,15/12/2023 05:00,Caution,true,,2023/01/11 21:02:00+00,2023/12/14 17:00:00+00,NMC,Official,2023/01/11 21:17:48.227+00,2023/08/30 18:01:40.937+00,,1e16a683-ae0d-4ae4-a269-34e7191114a1,,SH 2 Paengaroa to Kaituna River (TEL Toll Road),,411814,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1766795.32007304,5462599.87267715,100341,Active,North Island,,,,Road Construction,Road Work,Until further notice,Caution,true,,2023/09/17 18:00:00+00,2023/09/29 05:00:00+00,NZTA,Official,2023/09/17 18:12:11.293+00,2023/09/17 18:12:14.633+00,,537ab91f-03b0-43bb-8b14-f530d7ce0931,,"SH 1 Mackays Interchange, SH1 Northbound offramp, at the intersection with Whareroa Road",,441577,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1642868.87765306,5295458.20768325,100342,Scheduled,South Island,,,,Resurfacing,Road Work,09/10/2023 19:00,Delays,true,,2023/10/08 18:00:00.453+00,2023/10/09 07:00:00.453+00,NZTA,Official,2023/09/17 23:09:44.623+00,2023/09/17 23:09:49.507+00,,28201b64-b16c-455c-9a2d-21d10a21f87c,,SH 1 1.5km south of Goose Bay,,441612,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1860051.61330051,5787297.10692852,100343,Scheduled,North Island,9.55 km northeast of Ngatira,9.98 km northwest of Arahiwi,11.19 km southeast of Tapapa,Road Construction,Road Work,30/11/2023 18:00,Delays,true,,2023/10/15 18:00:00+00,2023/11/30 06:00:00+00,NMC,Official,2023/09/13 23:52:52.030+00,2023/09/13 23:52:52.030+00,,9db8ac00-29cc-48f5-8813-7bdff669b8fa,,SH 5 Tirau to Rotorua,,441264,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
