Week number,Week,Fuel price measure,Value,Value Unit,Value Label,Null Reason,Metadata 1
2004w17,2004-04-23,Dubai crude (USD),32.1,usd,USD per barrel,
2004w17,2004-04-23,NZ US exchange rate,0.633,usd,USD per 1 NZD,
2004w17,2004-04-23,Dubai crude (NZD),50.74,nzd,NZD per barrel,
2004w17,2004-04-23,Diesel importer cost,43.4,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel GST,7.5,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel taxes,7.9,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel price excluding taxes,59.6,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel main port price,67.5,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel discounted retail price,67.5,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel importer margin,18.7,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel margin trend,18.25542055,nzd,NZ cents per litre,
2004w17,2004-04-23,Petrol importer cost,48.6,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol GST,12.7,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol taxes,54.7,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol price excluding taxes,59.8,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol main port price,114.5,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol discounted retail price,114.5,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol importer margin,13.9,nzd,NZ cents per litre,
2004w17,2004-04-23,Regular petrol margin trend,13.56900674,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R importer cost,50.54357143,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R GST,13.1,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R taxes,55.065,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R price excluding taxes,62.835,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R main port price,117.9,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R discounted retail price,117.9,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R importer margin,12.29142857,nzd,NZ cents per litre,
2004w17,2004-04-23,Premium petrol 95R margin trend,13.65601418,nzd,NZ cents per litre,
2004w17,2004-04-23,Diesel main port price excluding taxes,59.6,nzd,NZ cents per litre,
2004w18,2004-04-30,Dubai crude (USD),32.65,usd,USD per barrel,
2004w18,2004-04-30,NZ US exchange rate,0.626,usd,USD per 1 NZD,
2004w18,2004-04-30,Dubai crude (NZD),52.16,nzd,NZD per barrel,
2004w18,2004-04-30,Diesel importer cost,45.8,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel GST,7.3,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel taxes,7.7,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel price excluding taxes,58.3,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel main port price,66,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel discounted retail price,66,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel importer margin,15.9,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel margin trend,18.26031945,nzd,NZ cents per litre,
2004w18,2004-04-30,Petrol importer cost,52.2,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol GST,12.6,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol taxes,54.5,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol price excluding taxes,58.5,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol main port price,113,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol discounted retail price,113,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol importer margin,11.8,nzd,NZ cents per litre,
2004w18,2004-04-30,Regular petrol margin trend,13.55930121,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R importer cost,52.86514286,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R GST,13.43333333,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R taxes,55.39833333,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R price excluding taxes,65.50166667,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R main port price,120.9,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R discounted retail price,120.9,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R importer margin,12.63652381,nzd,NZ cents per litre,
2004w18,2004-04-30,Premium petrol 95R margin trend,13.65727324,nzd,NZ cents per litre,
2004w18,2004-04-30,Diesel main port price excluding taxes,58.3,nzd,NZ cents per litre,
2004w19,2004-05-07,Dubai crude (USD),33.38,usd,USD per barrel,
2004w19,2004-05-07,NZ US exchange rate,0.63,usd,USD per 1 NZD,
2004w19,2004-05-07,Dubai crude (NZD),52.94,nzd,NZD per barrel,
2004w19,2004-05-07,Diesel importer cost,47.8,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel Emission Trading Scheme levy,0,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel GST,7.8,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel taxes,8.2,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel price excluding taxes,62.2,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel main port price,70.3,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel discounted retail price,70.3,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel importer margin,18.8,nzd,NZ cents per litre,
2004w19,2004-05-07,Diesel margin trend,18.26521836,nzd,NZ cents per litre,
2004w19,2004-05-07,Petrol importer cost,53.3,nzd,NZ cents per litre,
